<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.24	108.698	109.199	108.542	108.812	70230	0	1
2018.04.25	108.812	109.454	108.784	109.422	82335	0	1
2018.04.26	109.414	109.468	109.064	109.295	75839	0	1
2018.04.27	109.283	109.536	108.966	109.051	78944	0	1
2018.04.30	109.051	109.452	109.019	109.327	56922	0	1
2018.05.01	109.341	109.886	109.233	109.857	63993	0	1
2018.05.02	109.853	110.034	109.594	109.836	82392	0	1
2018.05.03	109.836	109.883	108.929	109.188	90856	0	1
2018.05.04	109.188	109.271	108.645	109.072	69002	0	1
2018.05.07	109.102	109.396	108.757	109.088	49927	0	1
2018.05.08	109.088	109.350	108.828	109.121	76773	0	1
2018.05.09	109.121	109.832	108.994	109.740	75378	0	1
2018.05.10	109.740	110.018	109.312	109.385	80171	0	1
2018.05.11	109.385	109.567	109.151	109.386	62375	0	1
2018.05.14	109.328	109.669	109.207	109.647	54975	0	1
2018.05.15	109.645	110.453	109.645	110.340	77518	0	1
2018.05.16	110.340	110.402	110.039	110.392	80892	0	1
2018.05.17	110.386	110.856	110.072	110.747	80080	0	1
2018.05.18	110.743	111.079	110.609	110.759	69331	0	1
2018.05.21	110.864	111.395	110.820	111.037	56468	0	1
2018.05.22	111.008	111.183	110.795	110.893	64943	0	1
2018.05.23	110.893	110.917	109.556	110.069	119079	0	1
2018.05.24	110.047	110.082	108.952	109.241	102413	0	1
2018.05.25	109.241	109.743	109.050	109.382	83460	0	1
2018.05.28	109.727	109.831	109.230	109.404	74326	0	1
2018.05.29	109.399	109.466	108.111	108.753	158356	0	1
2018.05.30	108.753	109.072	108.350	108.903	133005	0	1
2018.05.31	108.903	109.003	108.384	108.802	113170	0	1
2018.06.01	108.802	109.734	108.720	109.529	90069	0	1
2018.06.04	109.420	109.851	109.369	109.812	60130	0	1
2018.06.05	109.807	110.002	109.471	109.773	66573	0	1
2018.06.06	109.769	110.264	109.769	110.177	65864	0	1
2018.06.07	110.176	110.220	109.472	109.690	79584	0	1
2018.06.08	109.683	109.851	109.197	109.543	72008	0	1
2018.06.11	109.292	110.116	109.292	110.032	57263	0	1
2018.06.12	110.032	110.492	109.955	110.364	83394	0	1
2018.06.13	110.359	110.845	110.270	110.331	66411	0	1
2018.06.14	110.315	110.692	109.917	110.619	72170	0	1
2018.06.15	110.612	110.903	110.383	110.659	81256	0	1
2018.06.18	110.683	110.733	110.298	110.538	43450	0	1
2018.06.19	110.538	110.571	109.549	110.049	99635	0	1
2018.06.20	110.060	110.450	109.852	110.354	75044	0	1
2018.06.21	110.350	110.756	109.840	109.947	83142	0	1
2018.06.22	109.960	110.216	109.800	109.974	70083	0	1
2018.06.25	109.855	110.038	109.366	109.736	80976	0	1
2018.06.26	109.742	110.218	109.368	110.008	73717	0	1
2018.06.27	110.008	110.489	109.682	110.253	98960	0	1
2018.06.28	110.252	110.647	109.964	110.485	86392	0	1
2018.06.29	110.480	110.943	110.372	110.756	85501	0	1
2018.07.02	110.585	111.061	110.551	110.894	79842	0	1
2018.07.03	110.894	111.132	110.507	110.555	80100	0	1
2018.07.04	110.553	110.599	110.275	110.428	108972	0	1
2018.07.05	110.404	110.726	110.286	110.584	120131	0	1
2018.07.06	110.604	110.785	110.380	110.460	69193	0	1
2018.07.09	110.379	110.900	110.348	110.845	52169	0	1
2018.07.10	110.818	111.352	110.758	110.992	63708	0	1
2018.07.11	111.007	112.171	110.765	111.989	109942	0	1
2018.07.12	111.984	112.624	111.910	112.530	84294	0	1
2018.07.13	112.455	112.800	112.275	112.337	69585	0	1
2018.07.16	112.199	112.561	112.155	112.268	51195	0	1
2018.07.17	112.268	112.924	112.220	112.862	78737	0	1
2018.07.18	112.857	113.135	112.706	112.843	71329	0	1
2018.07.19	112.828	113.167	112.044	112.439	115902	0	1
2018.07.20	112.446	112.621	111.381	111.444	107125	0	1
2018.07.23	111.364	111.540	110.747	111.337	81692	0	4
2018.07.24	111.339	111.509	110.956	111.195	72021	0	6
2018.07.25	111.194	111.380	110.660	110.967	85087	0	6
2018.07.26	110.960	111.244	110.584	111.217	77596	0	4
2018.07.27	111.207	111.245	110.793	111.007	57204	0	7
2018.07.30	110.930	111.162	110.887	111.059	47517	0	3
2018.07.31	111.021	111.955	110.743	111.862	82592	0	3
2018.08.01	111.814	112.147	111.384	111.716	70957	0	4
2018.08.02	111.705	111.733	111.310	111.652	68214	0	4
2018.08.03	111.654	111.876	111.097	111.267	61965	0	5
2018.08.06	111.214	111.522	111.147	111.399	38414	0	5
2018.08.07	111.396	111.474	110.988	111.375	44592	0	6
2018.08.08	111.370	111.435	110.833	110.976	46131	0	6
2018.08.09	110.989	111.180	110.703	111.077	50650	0	8
2018.08.10	111.085	111.166	110.507	110.806	85389	0	4
2018.08.13	110.422	110.934	110.107	110.717	78746	0	6
2018.08.14	110.644	111.311	110.584	111.139	63460	0	4
2018.08.15	111.142	111.427	110.429	110.734	71645	0	4
2018.08.16	110.731	111.119	110.455	110.888	77354	0	6
2018.08.17	110.865	111.048	110.312	110.489	61326	0	3
2018.08.20	110.579	110.681	110.014	110.063	44431	0	5
2018.08.21	110.059	110.544	109.770	110.271	59042	0	5
2018.08.22	110.220	110.612	110.023	110.545	57903	0	5
2018.08.23	110.555	111.313	110.515	111.265	54830	0	3
2018.08.24	111.239	111.484	111.100	111.234	61070	0	5
2018.08.27	111.306	111.343	110.932	111.071	41536	0	4
2018.08.28	111.042	111.353	110.950	111.185	51428	0	3
2018.08.29	111.185	111.823	111.118	111.674	58596	0	5
2018.08.30	111.687	111.753	110.950	110.970	57442	0	5
2018.08.31	110.960	111.135	110.681	111.089	63016	0	5
2018.09.03	111.051	111.184	110.846	111.033	48787	0	8
2018.09.04	110.995	111.530	110.897	111.356	57573	0	5
2018.09.05	111.366	111.754	111.323	111.522	62926	0	3
2018.09.06	111.513	111.527	110.517	110.744	66655	0	5
2018.09.07	110.739	111.243	110.376	111.039	69925	0	6
2018.09.10	111.028	111.244	110.846	111.101	43279	0	4
2018.09.11	111.101	111.638	111.059	111.624	43856	0	3
2018.09.12	111.593	111.646	111.110	111.252	48667	0	4
2018.09.13	111.257	111.995	111.155	111.915	52947	0	3
2018.09.14	111.919	112.165	111.750	112.054	52907	0	6
2018.09.17	112.013	112.118	111.757	111.840	38589	0	3
2018.09.18	111.838	112.385	111.660	112.359	68801	0	5
2018.09.19	112.353	112.443	112.157	112.266	52240	0	5
2018.09.20	112.275	112.580	112.038	112.483	64267	0	5
2018.09.21	112.485	112.870	112.423	112.512	54668	0	4
2018.09.24	112.426	112.835	112.411	112.794	36196	0	5
2018.09.25	112.795	112.976	112.737	112.971	48230	0	5
2018.09.26	112.957	113.132	112.628	112.707	56884	0	5
2018.09.27	112.718	113.465	112.557	113.354	58466	0	4
2018.09.28	113.352	113.703	113.308	113.671	59006	0	4
2018.10.01	113.696	114.057	113.695	113.890	45221	0	5
2018.10.02	113.873	114.013	113.525	113.637	56983	0	4
2018.10.03	113.614	114.539	113.517	114.530	57015	0	5
2018.10.04	114.510	114.546	113.630	113.897	75804	0	6
2018.10.05	113.892	114.098	113.554	113.687	75992	0	5
2018.10.08	113.780	113.938	112.818	113.225	53865	0	5
2018.10.09	113.217	113.388	112.867	112.947	86861	0	5
2018.10.10	112.942	113.282	112.250	112.265	86615	0	3
2018.10.11	112.267	112.532	111.828	112.156	150127	0	5
2018.10.12	112.118	112.493	111.875	112.181	93230	0	6
2018.10.15	112.129	112.231	111.622	111.762	90260	0	5
2018.10.16	111.761	112.334	111.728	112.245	69547	0	5
2018.10.17	112.252	112.671	112.012	112.632	75160	0	8
2018.10.18	112.636	112.725	111.943	112.181	94429	0	3
2018.10.19	112.183	112.644	112.138	112.527	92449	0	8
2018.10.22	112.574	112.882	112.345	112.811	77589	0	3
2018.10.23	112.810	112.837	111.948	112.436	104514	0	4
2018.10.24	112.437	112.739	112.086	112.244	113873	0	5
2018.10.25	112.206	112.670	111.816	112.401	110003	0	4
2018.10.26	112.398	112.443	111.374	111.877	143092	0	8
2018.10.29	111.890	112.558	111.771	112.353	107100	0	7
2018.10.30	112.352	113.160	112.300	113.083	102606	0	3
2018.10.31	113.084	113.380	112.801	112.928	80430	0	3
2018.11.01	112.928	112.998	112.602	112.650	70295	0	4
2018.11.02	112.650	113.318	112.555	113.187	85668	0	8
2018.11.05	113.127	113.334	113.071	113.187	54046	0	7
2018.11.06	113.180	113.500	113.097	113.424	52293	0	4
2018.11.07	113.416	113.815	112.942	113.491	94222	0	5
2018.11.08	113.530	114.083	113.469	114.062	57212	0	4
2018.11.09	114.062	114.080	113.634	113.790	60534	0	3
2018.11.12	113.797	114.203	113.656	113.832	65340	0	5
2018.11.13	113.831	114.142	113.577	113.799	77688	0	4
2018.11.14	113.799	114.006	113.293	113.609	80439	0	4
2018.11.15	113.609	113.702	113.095	113.619	84816	0	5
2018.11.16	113.619	113.636	112.638	112.809	72520	0	4
2018.11.19	112.762	112.870	112.415	112.544	69142	0	4
2018.11.20	112.546	112.839	112.300	112.752	78131	0	4
2018.11.21	112.752	113.144	112.640	113.049	61212	0	4
2018.11.22	113.042	113.197	112.881	112.929	54720	0	4
2018.11.23	112.929	113.006	112.657	112.935	47825	0	5
2018.11.26	112.909	113.647	112.873	113.573	55424	0	5
2018.11.27	113.578	113.839	113.410	113.775	57720	0	4
2018.11.28	113.775	114.033	113.437	113.672	54478	0	4
2018.11.29	113.678	113.678	113.185	113.478	55914	0	3
2018.11.30	113.471	113.716	113.277	113.471	46939	0	8
2018.12.03	113.689	113.817	113.371	113.643	47391	0	5
2018.12.04	113.645	113.653	112.572	112.769	75626	0	5
2018.12.05	112.766	113.240	112.645	113.185	40618	0	3
2018.12.06	113.192	113.209	112.227	112.664	111587	0	4
2018.12.07	112.664	112.923	112.549	112.680	84324	0	6
2018.12.10	112.573	113.372	112.237	113.325	85379	0	5
2018.12.11	113.326	113.461	113.004	113.366	86751	0	4
2018.12.12	113.363	113.515	113.136	113.278	84383	0	6
2018.12.13	113.275	113.704	113.166	113.618	74113	0	5
2018.12.14	113.620	113.670	113.209	113.379	73032	0	3
2018.12.17	113.334	113.517	112.676	112.826	75682	0	6
2018.12.18	112.821	112.851	112.245	112.512	80572	0	5
2018.12.19	112.510	112.661	112.085	112.469	96881	0	6
2018.12.20	112.477	112.599	110.808	111.280	141644	0	7
2018.12.21	111.282	111.456	110.929	111.201	132145	0	4
2018.12.24	111.195	111.195	110.264	110.329	117544	0	3
2018.12.26	110.413	111.405	110.275	111.360	58541	0	3
2018.12.27	111.360	111.360	110.452	110.970	153865	0	4
2018.12.28	110.975	111.019	110.140	110.285	111878	0	6
2018.12.31	110.256	110.471	109.553	109.603	76513	0	5
2019.01.02	109.424	109.458	108.703	108.870	93194	0	3
2019.01.03	108.868	108.888	104.720	107.666	153873	0	8
2019.01.04	107.631	108.585	107.508	108.504	132155	0	3
2019.01.07	108.489	108.743	108.014	108.706	84474	0	4
2019.01.08	108.706	109.083	108.436	108.731	88178	0	5
2019.01.09	108.729	109.000	107.971	108.150	85140	0	3
2019.01.10	108.148	108.517	107.768	108.423	86056	0	3
2019.01.11	108.423	108.594	108.140	108.539	76065	0	3
2019.01.14	108.506	108.545	107.982	108.154	56781	0	4
2019.01.15	108.159	108.763	108.127	108.663	84379	0	5
2019.01.16	108.686	109.192	108.366	109.088	66931	0	7
2019.01.17	109.086	109.394	108.682	109.241	78423	0	5
2019.01.18	109.239	109.887	109.052	109.767	71715	0	5
2019.01.21	109.672	109.757	109.470	109.655	47862	0	5
2019.01.22	109.652	109.691	109.142	109.365	70095	0	6
2019.01.23	109.364	109.995	109.317	109.603	70541	0	5
2019.01.24	109.609	109.796	109.416	109.631	79512	0	5
2019.01.25	109.632	109.947	109.451	109.541	76467	0	8
2019.01.28	109.537	109.581	109.157	109.333	69755	0	8
2019.01.29	109.329	109.538	109.126	109.386	66054	0	4
2019.01.30	109.364	109.740	108.806	109.027	73636	0	5
2019.01.31	109.043	109.064	108.492	108.853	71360	0	8
2019.02.01	108.851	109.575	108.720	109.483	64897	0	6
2019.02.04	109.509	110.158	109.428	109.862	60684	0	5
2019.02.05	109.897	110.037	109.773	109.952	57889	0	5
2019.02.06	109.958	110.049	109.554	109.959	57101	0	3
2019.02.07	109.970	110.084	109.601	109.796	67507	0	4
2019.02.08	109.814	109.894	109.644	109.759	54913	0	4
2019.02.11	109.729	110.465	109.729	110.361	47410	0	3
2019.02.12	110.380	110.649	110.328	110.468	58605	0	5
2019.02.13	110.479	111.051	110.417	110.990	54809	0	4
2019.02.14	110.999	111.124	110.440	110.459	69930	0	4
2019.02.15	110.475	110.641	110.252	110.434	63807	0	4
2019.02.18	110.435	110.648	110.435	110.583	50268	0	6
2019.02.19	110.596	110.819	110.448	110.607	55559	0	5
2019.02.20	110.598	110.946	110.524	110.836	57794	0	6
2019.02.21	110.845	110.858	110.560	110.688	61998	0	5
2019.02.22	110.703	110.902	110.554	110.654	51744	0	5
2019.02.25	110.642	111.231	110.574	111.049	58500	0	5
2019.02.26	111.057	111.076	110.418	110.567	55308	0	4
2019.02.27	110.574	111.069	110.350	110.982	53124	0	4
2019.02.28	110.987	111.490	110.656	111.373	57100	0	4
2019.03.01	111.378	112.072	111.320	111.922	54909	0	6
2019.03.04	111.852	112.010	111.636	111.730	61259	0	5
2019.03.05	111.744	112.132	111.705	111.872	51247	0	5
2019.03.06	111.878	111.918	111.611	111.752	50157	0	4
2019.03.07	111.768	111.855	111.478	111.547	52759	0	4
2019.03.08	111.581	111.647	110.767	111.152	65445	0	5
2019.03.11	111.145	111.304	110.874	111.210	51632	0	4
2019.03.12	111.210	111.463	111.105	111.338	56760	0	7
2019.03.13	111.340	111.461	111.002	111.271	56993	0	5
2019.03.14	111.272	111.829	111.141	111.649	65172	0	4
2019.03.15	111.648	111.897	111.380	111.450	52625	0	5
2019.03.18	111.471	111.626	111.292	111.435	45455	0	4
2019.03.19	111.435	111.471	111.154	111.394	49284	0	3
2019.03.20	111.394	111.691	110.531	110.626	67255	0	4
2019.03.21	110.624	110.955	110.294	110.844	62338	0	3
2019.03.22	110.844	110.894	109.737	109.928	81806	0	1
2019.03.25	110.000	110.237	109.704	109.973	79670	0	4
2019.03.26	109.972	110.686	109.951	110.611	72313	0	4
2019.03.27	110.611	110.711	110.231	110.448	89987	0	6
2019.03.28	110.447	110.828	110.015	110.628	84360	0	6
2019.03.29	110.628	110.942	110.529	110.823	57981	0	3
2019.04.01	111.013	111.437	110.808	111.334	28304	0	13
2019.04.02	111.334	111.449	111.241	111.294	22440	0	13
2019.04.03	111.294	111.571	111.202	111.474	25978	0	13
2019.04.04	111.474	111.664	111.328	111.644	22893	0	13
2019.04.05	111.634	111.815	111.541	111.671	22049	0	13
2019.04.08	111.677	111.734	111.276	111.454	19747	0	13
2019.04.09	111.444	111.571	110.975	111.114	22351	0	13
2019.04.10	111.111	111.273	110.838	110.994	23182	0	13
2019.04.11	110.984	111.690	110.892	111.634	23506	0	13
2019.04.12	111.644	112.087	111.578	112.004	24896	0	13
2019.04.15	111.944	112.089	111.883	112.025	17855	0	13
2019.04.16	112.024	112.038	111.839	111.974	22303	0	13
2019.04.17	111.964	112.158	111.915	112.044	21179	0	13
2019.04.18	112.044	112.055	111.760	111.924	23582	0	13
2019.04.19	111.931	112.000	111.889	111.919	29105	0	14
2019.04.22	111.855	111.983	111.842	111.924	13464	0	13
2019.04.23	111.914	112.025	111.645	111.844	18487	0	13
2019.04.24	111.844	112.395	111.676	112.174	23049	0	14
2019.04.25	112.174	112.231	111.362	111.594	26329	0	14
2019.04.26	111.584	112.009	111.424	111.601	25779	0	14
2019.04.29	111.541	111.892	111.527	111.634	15882	0	14
2019.04.30	111.634	111.683	111.228	111.394	22470	0	14
2019.05.01	111.394	111.608	111.045	111.364	18840	0	14
2019.05.02	111.354	111.658	111.345	111.484	22249	0	14
2019.05.03	111.484	111.677	111.064	111.085	19118	0	14
2019.05.06	110.598	110.951	110.276	110.724	29102	0	14
2019.05.07	110.724	110.847	110.164	110.224	32736	0	14
2019.05.08	110.224	110.287	109.897	110.084	34860	0	14
2019.05.09	110.074	110.105	109.464	109.744	37662	0	14
2019.05.10	109.734	110.042	109.465	109.931	43592	0	14
2019.05.13	109.744	109.831	109.012	109.284	37830	0	14
2019.05.14	109.274	109.765	109.141	109.584	30033	0	14
2019.05.15	109.584	109.695	109.148	109.574	31113	0	14
2019.05.16	109.584	109.960	109.329	109.834	27410	0	14
2019.05.17	109.834	110.185	109.486	109.998	35139	0	14
2019.05.20	110.112	110.311	109.800	110.054	32063	0	14
2019.05.21	110.044	110.666	110.000	110.484	28030	0	14
2019.05.22	110.474	110.618	110.236	110.344	25682	0	13
2019.05.23	110.344	110.358	109.453	109.584	36659	0	13
2019.05.24	109.593	109.738	109.267	109.292	28233	0	13
2019.05.27	109.292	109.574	109.278	109.469	18407	0	13
2019.05.28	109.464	109.622	109.203	109.354	34149	0	13
2019.05.29	109.344	109.695	109.144	109.584	37285	0	13
2019.05.30	109.574	109.920	109.468	109.594	31945	0	13
2019.05.31	109.594	109.615	108.346	108.351	44757	0	13
2019.06.03	108.274	108.439	107.879	108.057	41639	0	13
2019.06.04	108.044	108.351	107.838	108.137	36506	0	13
2019.06.05	108.137	108.479	107.809	108.454	36915	0	13
2019.06.06	108.444	108.555	108.021	108.374	35140	0	13
2019.06.07	108.384	108.609	107.878	108.167	33387	0	13
2019.06.10	108.464	108.708	108.306	108.424	28439	0	14
2019.06.11	108.424	108.793	108.343	108.504	30232	0	14
2019.06.12	108.504	108.559	108.211	108.484	33932	0	14
2019.06.13	108.484	108.530	108.158	108.334	33341	0	14
2019.06.14	108.324	108.581	108.152	108.528	32250	0	14
2019.06.17	108.474	108.715	108.464	108.514	24781	0	14
2019.06.18	108.514	108.669	108.053	108.424	35489	0	14
2019.06.19	108.434	108.609	107.897	108.084	32408	0	14
2019.06.20	108.094	108.135	107.207	107.274	46069	0	14
2019.06.21	107.274	107.726	107.042	107.347	38906	0	14
2019.06.24	107.295	107.529	107.240	107.284	30177	0	14
2019.06.25	107.284	107.403	106.772	107.162	39639	0	14
2019.06.26	107.165	107.843	107.092	107.774	29632	0	14
2019.06.27	107.774	108.153	107.641	107.754	28501	0	14
2019.06.28	107.754	107.899	107.553	107.807	26835	0	14
2019.07.01	108.189	108.524	108.097	108.424	31676	0	14
2019.07.02	108.424	108.466	107.759	107.844	24315	0	14
2019.07.03	107.844	107.902	107.527	107.774	25211	0	14
2019.07.04	107.784	107.834	107.701	107.794	11638	0	14
2019.07.05	107.804	108.631	107.771	108.484	24009	0	14
2019.07.08	108.418	108.799	108.274	108.714	21182	0	14
2019.07.09	108.704	108.955	108.665	108.844	19970	0	14
2019.07.10	108.844	108.983	108.342	108.457	25196	0	14
2019.07.11	108.444	108.523	107.853	108.484	26496	0	14
2019.07.12	108.484	108.602	107.796	107.847	24260	0	14
2019.07.15	107.891	108.101	107.791	107.894	21413	0	14
2019.07.16	107.884	108.369	107.816	108.224	24088	0	14
2019.07.17	108.214	108.319	107.922	107.934	21248	0	14
2019.07.18	107.934	108.008	107.206	107.274	29061	0	14
2019.07.19	107.274	107.972	107.213	107.727	29057	0	14
2019.07.22	107.735	108.062	107.693	107.854	24253	0	14
2019.07.23	107.844	108.280	107.819	108.194	23292	0	14
2019.07.24	108.194	108.268	107.933	108.172	21181	0	14
2019.07.25	108.164	108.748	108.036	108.625	26437	0	14
2019.07.26	108.636	108.821	108.554	108.696	20089	0	14
2019.07.29	108.638	108.893	108.414	108.764	16823	0	14
2019.07.30	108.774	108.940	108.445	108.564	26971	0	14
2019.07.31	108.564	108.993	108.483	108.744	29471	0	14
2019.08.01	108.744	109.311	107.247	107.314	41568	0	14
2019.08.02	107.304	107.560	106.502	106.598	60561	0	14
2019.08.05	106.538	106.673	105.779	105.934	60588	0	14
2019.08.06	105.944	107.078	105.515	106.444	59852	0	14
2019.08.07	106.454	106.459	105.489	106.254	57396	0	14
2019.08.08	106.244	106.296	105.890	106.054	46070	0	14
2019.08.09	106.054	106.070	105.262	105.596	38344	0	14
2019.08.12	105.540	105.687	105.041	105.274	35364	0	14
2019.08.13	105.264	106.967	105.057	106.734	44937	0	14
